store,dt,opening_stock
B,2024-02-22,92
E,2025-01-28,448
F,2024-11-20,480
F,2024-06-01,341
C,2024-04-21,757
E,2025-10-28,455
G,2025-06-29,442
E,2023-08-29,12
E,2023-12-27,102
G,2023-12-14,140
C,2025-06-13,913
F,2025-03-13,631
B,2024-11-06,344
D,2024-11-10,438
E,2023-10-05,32
G,2023-08-11,255
D,2024-08-22,408
A,2025-09-24,750
D,2023-11-05,418
G,2025-03-22,181
E,2024-07-17,389
G,2025-08-29,449
G,2025-01-23,217
B,2025-06-19,208
B,2024-02-11,50
D,2025-11-17,520
D,2025-10-16,578
A,2024-06-26,535
B,2025-04-19,239
F,2025-06-04,560
B,2024-02-12,45
A,2024-05-18,142
G,2024-01-24,35
B,2025-07-12,281
C,2024-05-30,779
E,2025-09-24,519
C,2024-01-27,902
F,2025-07-08,503
D,2025-09-01,511
F,2024-07-29,554
C,2024-07-05,674
B,2024-11-29,227
E,2023-08-10,93
A,2024-10-27,383
G,2024-09-14,406
E,2025-02-05,407
E,2023-08-27,24
F,2025-12-03,421
C,2024-08-19,980
F,2023-09-29,731
F,2025-10-13,585
D,2024-05-24,130
A,2025-01-16,500
G,2025-04-02,130
F,2024-03-30,482
E,2023-11-08,162
E,2025-09-09,592
B,2023-10-03,199
G,2025-02-16,173
F,2024-11-15,510
A,2025-07-11,395
D,2024-04-23,96
B,2024-10-16,237
B,2023-09-12,216
G,2025-11-04,665
D,2025-10-27,529
G,2023-09-27,259
D,2024-09-07,542
D,2025-04-01,442
D,2024-01-04,269
F,2025-04-03,611
C,2025-04-29,941
E,2023-08-09,93
F,2023-08-22,919
D,2025-06-25,525
G,2024-01-26,123
B,2024-08-12,415
F,2025-05-21,546
F,2023-11-29,533
A,2024-02-15,95
A,2025-04-30,452
C,2024-03-13,872
E,2024-10-14,339
C,2024-05-11,748
G,2025-12-01,510
B,2025-11-29,73
B,2023-08-14,87
G,2024-11-04,269
E,2024-05-02,220
G,2025-02-09,215
A,2023-12-14,211
E,2023-07-19,109
G,2023-10-17,155
F,2024-05-21,311
D,2024-04-25,85
C,2024-10-23,817
E,2024-02-15,176
E,2025-01-14,414
F,2025-09-11,446
B,2024-09-30,345
F,2025-09-26,570
C,2025-08-24,860
F,2023-09-14,790
A,2025-12-02,443
F,2025-11-07,445
F,2023-12-29,584
C,2024-01-06,942
F,2024-05-03,406
B,2025-07-14,264
B,2025-10-29,248
A,2025-03-05,421
F,2024-09-16,596
C,2024-07-26,989
B,2024-11-11,321
F,2025-11-29,429
F,2025-06-17,610
F,2025-12-11,384
B,2024-05-11,120
A,2025-01-06,562
G,2023-07-22,365
G,2023-09-08,345
C,2024-09-06,888
E,2024-06-25,424
G,2025-02-27,196
B,2025-11-06,206
D,2024-08-08,168
E,2025-10-08,458
G,2024-12-27,367
D,2025-10-23,539
C,2024-07-23,794
D,2023-12-10,282
C,2025-11-05,1174
A,2025-04-18,509
D,2024-09-27,460
F,2023-07-30,852
G,2023-12-18,117
B,2025-01-01,167
C,2024-03-29,794
A,2025-06-11,324
A,2025-01-30,408
A,2025-07-30,389
C,2025-10-14,1285
A,2024-12-08,391
A,2023-10-08,305
A,2024-03-18,128
D,2024-12-04,543
G,2025-05-08,624
C,2025-09-14,853
G,2024-12-26,268
C,2024-06-27,614
B,2024-10-28,289
B,2024-01-02,74
D,2024-02-04,129
D,2025-08-15,502
F,2025-03-18,599
G,2025-03-14,219
D,2025-01-03,425
A,2024-01-19,119
G,2024-05-12,364
A,2023-07-25,405
E,2025-08-20,696
B,2024-03-12,81
A,2025-04-05,457
B,2023-09-11,222
E,2024-04-07,157
F,2025-01-14,604
A,2024-08-12,371
A,2024-02-18,76
G,2024-09-20,376
C,2025-09-10,870
E,2025-08-30,642
G,2024-03-09,404
B,2024-11-01,376
D,2024-07-06,33
D,2025-02-25,612
A,2023-10-30,316
D,2023-12-17,249
C,2024-12-21,846
B,2023-09-10,123
B,2024-12-17,237
C,2023-11-25,1073
E,2025-03-24,468
F,2025-06-29,549
G,2023-07-23,359
G,2024-01-27,119
B,2023-11-14,74
C,2023-10-25,1253
C,2025-01-27,1052
D,2024-01-05,264
D,2025-07-21,409
C,2025-12-05,994
A,2025-10-25,575
F,2025-09-10,453
F,2024-08-09,609
D,2025-09-15,444
E,2025-04-11,391
E,2024-06-20,460
G,2023-12-06,175
A,2023-08-12,409
F,2023-09-21,760
D,2025-03-29,459
E,2024-02-26,143
D,2025-08-28,527
C,2025-09-19,1320
F,2025-11-17,398
A,2024-04-28,134
G,2023-10-24,215
F,2024-11-29,515
D,2025-02-13,384
E,2024-08-03,385
G,2023-11-21,172
G,2023-09-12,329
B,2023-08-01,48
D,2024-11-08,449
A,2025-07-12,391
G,2024-05-27,282
D,2025-07-05,470
E,2025-03-09,540
G,2023-10-08,201
F,2024-07-19,601
C,2024-02-18,913
D,2024-07-18,77
E,2024-02-04,139
E,2024-01-04,167
G,2024-12-23,287
G,2025-07-16,368
G,2023-10-18,248
G,2025-06-04,558
A,2025-02-14,344
A,2024-09-19,382
A,2024-10-01,411
C,2024-03-03,836
G,2024-03-06,414
E,2025-04-29,399
G,2025-01-11,286
E,2023-12-05,110
F,2025-02-03,496
D,2024-03-27,107
F,2025-05-05,530
A,2024-01-20,119
D,2025-08-04,446
G,2025-04-23,102
C,2025-06-12,914
E,2025-11-28,595
D,2025-04-27,529
C,2025-04-30,939
A,2024-11-04,324
C,2023-10-16,1290
E,2025-06-04,429
F,2024-02-26,417
B,2025-05-04,366
D,2024-03-30,90
B,2025-01-19,182
F,2023-08-11,871
E,2024-07-08,337
D,2023-10-01,287
B,2023-08-06,115
C,2025-01-12,838
A,2025-02-05,382
B,2023-12-18,39
B,2023-10-04,189
D,2024-10-05,414
G,2025-10-31,692
B,2024-01-27,147
C,2024-05-31,775
D,2024-05-17,62
B,2024-04-19,115
C,2023-11-01,1218
C,2023-11-23,1084
D,2023-08-05,154
C,2023-07-21,1226
D,2025-03-15,515
C,2024-06-24,639
A,2025-10-03,705
F,2024-01-02,561
C,2024-06-10,717
B,2023-10-27,56
A,2024-06-07,234
E,2023-08-22,51
G,2025-11-30,513
G,2025-09-12,489
E,2024-04-20,190
A,2025-04-10,434
C,2024-02-24,877
E,2024-12-19,459
A,2024-11-10,397
F,2024-05-31,347
C,2023-11-06,1175
D,2024-09-22,488
C,2024-04-29,818
F,2025-02-04,596
E,2024-04-15,217
C,2025-06-15,907
E,2024-06-21,459
D,2024-08-13,150
E,2025-09-14,570
F,2024-06-17,654
A,2023-09-18,406
D,2023-12-07,302
F,2025-08-20,567
D,2024-04-27,77
D,2025-09-28,464
B,2024-03-11,89
D,2025-01-30,371
C,2025-10-03,1241
A,2023-08-28,530
E,2025-01-26,464
G,2023-09-24,269
G,2024-05-03,291
D,2025-06-02,543
D,2025-01-10,496
C,2024-06-21,665
D,2023-11-02,427
A,2024-05-15,157
A,2025-03-22,326
G,2024-12-18,316
F,2025-10-26,525
F,2024-09-07,558
C,2025-08-08,952
A,2024-01-28,90
D,2024-10-24,416
E,2023-10-18,62
C,2025-06-14,909
C,2025-12-07,986
C,2023-11-15,1126
E,2024-05-16,551
A,2024-01-29,83
A,2024-01-01,209
B,2025-05-12,312
C,2023-09-20,1329
G,2024-09-22,364
B,2024-07-01,41
E,2025-05-29,451
B,2023-09-07,143
D,2025-05-28,459
A,2024-08-22,432
D,2025-05-04,488
F,2025-08-11,613
B,2024-04-09,159
A,2024-02-02,62
B,2024-03-22,27
A,2024-12-19,336
C,2024-06-06,736
E,2024-09-03,461
B,2024-09-03,273
A,2025-01-05,562
A,2024-10-15,449
D,2024-01-18,185
D,2025-08-26,536
D,2025-08-01,463
A,2024-02-25,41
G,2024-09-01,173
F,2023-12-02,628
B,2024-05-18,194
D,2023-11-25,344
B,2024-03-05,21
A,2025-01-08,545
C,2024-10-05,918
G,2024-08-26,204
D,2023-07-24,92
G,2025-07-14,379
D,2025-04-14,388
F,2025-04-23,602
A,2023-09-08,475
E,2025-01-18,497
A,2025-10-24,584
A,2024-12-22,325
G,2024-10-03,299
F,2025-03-17,604
E,2025-10-26,459
G,2025-02-03,242
G,2025-01-13,272
B,2024-09-11,223
A,2025-08-01,384
E,2024-01-29,73
C,2024-11-23,872
F,2025-03-16,611
D,2024-02-21,143
C,2024-08-03,948
F,2023-09-23,745
C,2024-02-23,886
E,2024-04-17,205
F,2023-10-22,724
C,2024-04-19,764
E,2025-11-06,591
F,2023-09-26,739
B,2023-12-09,65
C,2024-05-28,789
C,2025-06-16,898
A,2025-01-31,403
A,2024-11-11,396
A,2025-06-28,453
D,2025-07-09,452
C,2023-12-29,998
D,2023-08-14,108
B,2025-11-05,216
A,2023-11-18,262
G,2023-11-06,159
D,2024-11-11,437
B,2025-09-06,201
E,2025-07-18,788
E,2024-08-12,347
G,2024-10-06,284
D,2024-08-26,501
C,2025-02-16,973
B,2024-05-24,170
D,2024-03-29,95
G,2025-10-01,504
D,2024-05-23,40
B,2025-02-04,412
A,2024-08-02,421
G,2023-11-25,145
C,2024-11-11,943
F,2023-10-07,692
D,2023-10-24,477
C,2024-04-06,762
D,2024-11-22,392
G,2023-10-07,202
D,2024-02-29,217
A,2023-08-27,532
A,2023-11-20,248
A,2024-03-21,125
C,2024-08-13,1004
F,2023-12-16,634
C,2024-09-27,853
G,2024-10-13,251
G,2025-09-14,480
F,2024-12-29,671
D,2023-09-10,289
B,2025-01-15,193
F,2025-07-25,517
B,2024-11-05,348
B,2025-07-29,292
F,2024-09-26,640
E,2023-12-16,64
F,2023-10-20,734
E,2024-01-13,136
C,2025-05-26,1004
G,2025-03-10,232
C,2023-11-09,1160
D,2023-11-23,347
D,2023-09-09,297
B,2024-03-27,8
A,2025-10-15,635
F,2025-03-23,673
C,2024-07-22,699
G,2024-11-08,340
E,2023-09-19,106
B,2025-09-02,224
D,2024-04-06,161
G,2025-03-01,288
B,2025-09-26,314
C,2024-12-27,829
A,2024-08-30,378
E,2024-12-16,474
B,2024-08-22,350
C,2025-01-22,777
G,2025-11-21,566
A,2024-03-05,1
G,2025-07-03,430
D,2024-02-13,191
F,2024-05-04,402
F,2024-12-15,749
D,2023-10-31,438
E,2025-03-29,457
E,2025-08-16,718
C,2024-04-09,738
B,2023-12-14,51
D,2025-05-10,452
D,2024-06-25,85
B,2024-06-18,27
B,2023-07-23,90
B,2025-05-22,356
E,2024-11-11,370
A,2024-06-15,196
F,2023-11-10,617
C,2025-10-26,1226
A,2025-07-28,399
D,2024-11-17,399
A,2025-05-03,442
F,2025-01-20,565
D,2024-08-29,480
C,2024-07-15,626
G,2024-04-06,363
G,2025-05-11,601
G,2025-02-17,172
F,2024-02-14,457
C,2025-11-20,1067
C,2023-09-08,1169
B,2025-06-04,300
A,2024-03-23,109
G,2024-06-18,365
A,2023-08-07,343
D,2023-08-08,143
D,2024-07-03,48
D,2025-11-03,597
E,2024-05-20,537
B,2025-07-26,308
F,2025-10-15,569
C,2023-11-19,1106
D,2025-06-21,547
C,2025-10-28,1217
D,2023-12-12,274
F,2025-10-04,618
C,2024-05-29,782
F,2024-05-20,319
A,2023-07-20,429
B,2024-10-17,236
A,2025-07-04,425
B,2024-01-22,71
G,2024-09-08,436
C,2025-01-26,1053
B,2024-06-17,27
E,2024-10-16,323
E,2025-02-08,393
C,2024-05-03,796
F,2025-10-16,568
E,2025-12-03,669
F,2023-12-27,588
A,2024-02-24,41
B,2024-11-09,328
D,2023-07-20,5
F,2024-10-25,602
B,2025-04-24,315
G,2024-03-21,431
E,2025-08-31,636
D,2025-01-20,425
B,2025-07-28,297
D,2024-02-26,221
D,2025-06-08,508
D,2024-11-15,407
B,2025-03-15,219
F,2025-03-29,643
C,2025-05-07,997
B,2024-03-06,118
E,2024-03-06,114
D,2024-08-18,127
F,2024-03-11,469
G,2024-11-14,309
G,2025-01-12,278
F,2024-12-24,689
F,2025-04-25,599
E,2025-05-27,464
B,2023-08-22,129
B,2024-08-03,376
E,2023-08-30,9
E,2024-11-25,594
F,2023-08-08,894
G,2024-07-27,254
A,2024-03-17,128
C,2025-10-06,1329
E,2025-02-19,435
B,2024-02-18,15
G,2025-07-13,386
B,2024-09-17,305
B,2024-06-11,58
G,2025-03-13,221
B,2025-11-30,72
A,2024-08-01,422
C,2025-05-12,964
C,2025-06-02,967
F,2024-06-20,642
D,2023-12-03,316
E,2025-12-07,656
C,2024-02-15,924
C,2023-10-24,1255
A,2024-08-06,402
E,2025-02-16,456
A,2025-06-06,358
D,2024-09-13,518
E,2025-12-11,634
G,2024-08-13,172
A,2025-07-01,434
E,2023-10-03,38
E,2024-04-26,249
E,2025-05-09,450
C,2023-10-05,1347
A,2024-10-23,397
A,2023-09-16,423
F,2024-07-18,608
E,2023-09-29,50
F,2024-12-14,756
B,2025-04-11,273
A,2024-12-14,367
C,2025-04-08,942
C,2024-11-21,885
C,2024-12-11,888
E,2023-08-25,38
A,2025-03-07,420
D,2025-05-26,462
E,2025-10-17,521
C,2024-12-19,858
E,2025-10-06,464
D,2024-06-06,77
A,2024-07-07,455
E,2025-03-22,477
A,2024-05-01,216
F,2025-03-28,645
B,2024-08-30,306
E,2024-05-25,507
A,2023-08-01,375
A,2024-06-04,255
G,2024-06-05,231
C,2024-06-22,656
F,2025-08-26,536
C,2023-08-17,1196
A,2024-12-17,346
C,2024-05-19,838
B,2025-09-11,175
G,2025-06-03,568
C,2025-04-23,869
F,2024-06-18,650
A,2024-03-27,194
G,2024-12-16,324
A,2024-02-11,111
E,2025-07-11,820
D,2023-08-24,267
G,2025-04-12,169
G,2023-08-15,236
G,2025-04-27,486
E,2025-01-19,493
C,2025-07-01,936
A,2025-03-13,382
A,2025-09-03,836
F,2025-02-27,590
A,2023-11-23,237
F,2025-11-19,394
F,2025-07-01,540
G,2025-11-24,556
E,2023-11-06,164
E,2025-02-13,472
E,2025-10-18,514
A,2025-02-19,413
A,2024-04-21,161
A,2025-04-19,508
B,2023-09-17,184
B,2023-12-30,93
C,2024-09-08,872
D,2024-10-09,387
E,2025-09-01,631
A,2024-10-21,407
F,2024-01-15,494
A,2025-02-27,456
G,2025-09-24,549
D,2025-10-30,522
A,2025-08-26,777
D,2025-04-03,439
F,2024-09-22,654
B,2025-11-03,233
A,2025-07-13,385
D,2025-02-20,333
F,2024-03-06,484
F,2025-07-26,510
B,2024-01-29,138
C,2024-07-07,665
A,2024-01-08,175
F,2023-08-04,918
C,2025-01-10,851
E,2025-08-01,816
D,2024-05-02,51
D,2025-01-31,362
D,2024-04-24,90
E,2024-02-09,104
E,2024-12-08,511
A,2025-06-04,367
G,2025-04-05,110
E,2024-04-22,178
C,2024-03-17,846
D,2024-11-09,441
F,2024-03-31,476
E,2024-02-21,150
G,2025-10-08,487
G,2023-09-09,341
A,2024-02-27,32
G,2024-02-01,84
B,2024-03-03,35
F,2025-11-16,404
G,2023-08-18,230
C,2024-07-08,655
G,2025-01-14,268
G,2025-07-28,295
D,2025-01-25,398
A,2025-08-28,761
G,2024-09-10,434
D,2025-02-22,530
D,2024-05-11,105
G,2024-01-28,110
F,2024-07-30,551
D,2025-06-01,446
B,2024-03-21,32
G,2024-02-02,76
B,2025-09-04,209
F,2023-10-29,679
E,2024-06-08,518
D,2023-08-13,115
D,2023-07-23,92
G,2025-08-28,452
B,2025-08-08,251
B,2025-05-17,381
F,2023-10-03,715
E,2025-08-18,704
B,2025-08-10,241
B,2024-07-13,97
A,2023-10-28,319
A,2024-07-10,538
C,2023-09-13,1241
B,2024-07-07,116
D,2025-05-22,490
B,2024-10-13,259
E,2024-11-26,589
D,2024-07-20,67
E,2024-07-19,374
A,2025-11-20,416
D,2024-05-09,13
F,2024-07-15,623
E,2025-05-06,468
G,2024-12-14,331
E,2025-01-16,408
D,2025-01-16,453
D,2025-02-16,361
A,2023-11-24,227
G,2025-11-11,627
A,2025-08-03,375
E,2025-11-17,539
C,2024-12-14,879
G,2024-07-30,240
A,2025-11-19,420
E,2024-04-19,197
E,2023-09-02,90
C,2025-06-24,963
G,2024-07-31,237
G,2024-11-17,291
D,2024-10-23,426
F,2025-10-12,585
A,2025-01-29,413
B,2024-08-27,324
D,2023-10-19,403
E,2023-08-16,82
E,2025-10-12,533
F,2024-08-28,603
E,2025-02-03,415
B,2023-11-28,105
B,2023-09-19,170
E,2024-08-15,337
D,2024-06-04,90
B,2024-04-25,180
D,2025-09-18,427
A,2025-09-28,727
B,2024-02-02,104
A,2023-09-22,381
A,2024-03-31,164
E,2024-12-25,423
B,2023-11-04,20
F,2024-04-26,443
F,2024-05-12,366
G,2023-11-12,103
A,2025-06-21,479
B,2025-01-03,252
F,2025-08-31,499
D,2024-01-24,168
C,2025-02-15,978
D,2025-10-28,525
A,2024-08-19,449
E,2023-12-22,27
D,2025-09-03,511
F,2025-03-05,563
F,2025-06-02,573
E,2024-10-23,388
B,2023-10-22,76
E,2024-07-23,452
F,2024-01-27,546
F,2025-09-28,556
F,2025-04-04,610
B,2024-09-10,233
F,2023-12-06,600
F,2025-10-14,577
D,2025-01-07,515
A,2024-04-07,133
E,2025-09-18,554
F,2024-08-15,574
C,2025-08-17,906
G,2025-10-28,700
F,2023-08-29,879
E,2024-02-20,154
A,2025-08-15,417
C,2025-10-18,1266
C,2024-09-15,827
D,2024-12-07,521
A,2023-07-30,389
A,2024-04-16,188
B,2023-08-13,88
F,2024-11-09,542
F,2024-08-26,608
F,2025-08-14,595
F,2025-04-10,668
G,2024-03-16,362
B,2024-01-08,48
C,2024-01-30,985
D,2024-08-11,161
B,2023-11-27,113
E,2025-03-19,498
B,2024-10-15,241
C,2024-03-31,788
G,2023-11-07,149
E,2024-08-14,342
C,2024-01-17,962
E,2023-11-25,176
D,2024-11-24,483
D,2024-12-31,437
F,2023-12-31,569
E,2025-12-10,638
B,2025-06-05,293
G,2024-07-07,257
G,2024-09-30,320
G,2025-02-07,228
A,2024-05-03,216
F,2024-01-13,505
E,2024-10-20,405
C,2024-09-04,901
A,2024-08-24,423
A,2024-09-08,436
D,2023-10-27,460
E,2025-02-09,392
B,2025-06-09,269
G,2023-09-20,290
A,2025-08-19,801
E,2025-08-28,648
B,2024-05-16,200
G,2025-10-02,502
D,2025-05-20,396
A,2025-08-02,381
E,2025-10-29,449
A,2023-07-27,395
B,2024-06-22,3
D,2024-12-19,486
E,2025-06-23,436
B,2024-01-10,132
D,2024-06-23,93
A,2025-10-06,687
E,2024-08-26,498
F,2024-09-20,668
G,2024-11-28,222
D,2025-09-12,463
G,2024-01-09,110
A,2024-03-03,10
G,2024-09-16,402
E,2024-02-11,99
D,2025-01-06,515
A,2024-12-30,579
G,2024-11-29,214
C,2025-04-11,923
G,2024-06-27,326
F,2025-04-30,568
E,2024-11-10,372
D,2023-10-07,264
F,2023-09-04,851
B,2023-11-25,124
G,2025-08-08,333
E,2025-09-06,610
E,2024-11-05,411
E,2025-06-10,396
B,2023-07-22,97
F,2025-03-02,574
G,2025-01-25,204
G,2025-02-26,204
F,2023-10-12,675
D,2024-07-16,90
E,2024-03-22,126
B,2024-09-27,265
D,2024-04-03,73
B,2023-07-24,88
A,2024-05-07,205
E,2025-03-17,509
C,2025-07-19,949
B,2024-05-03,147
D,2023-10-15,420
G,2024-01-16,74
G,2024-09-09,434
B,2025-02-27,291
C,2024-05-10,748
E,2023-10-08,17
E,2025-03-31,449
E,2024-12-05,526
A,2023-10-17,264
G,2024-08-04,214
B,2024-09-01,292
B,2025-04-10,280
F,2024-10-22,512
B,2024-10-18,228
A,2025-01-22,458
F,2024-01-17,488
G,2025-03-21,183
E,2025-03-15,516
C,2023-12-06,1109
E,2023-12-10,86
G,2024-08-11,183
F,2024-11-03,562
D,2024-04-26,77
G,2024-01-30,103
A,2025-05-27,418
F,2023-12-30,575
A,2025-11-15,453
F,2024-05-18,334
A,2025-08-09,346
C,2024-11-24,871
A,2023-09-30,341
A,2024-09-18,390
G,2024-12-20,303
F,2024-11-08,543
C,2025-08-03,973
B,2024-04-29,166
D,2025-03-13,527
A,2025-04-23,490
D,2025-09-11,473
G,2025-06-15,519
E,2024-06-18,468
A,2025-06-13,409
G,2025-03-15,219
G,2024-09-17,398
C,2024-02-13,934
G,2025-03-17,214
E,2024-06-04,545
A,2025-06-20,379
B,2024-10-09,283
B,2025-03-07,261
F,2025-08-04,661
A,2025-11-04,520
A,2025-04-28,468
D,2025-02-02,452
A,2023-09-09,469
C,2024-05-17,838
C,2024-10-20,831
D,2025-01-19,435
C,2023-08-12,1218
F,2024-06-10,487
E,2024-04-01,182
G,2025-03-29,156
B,2023-08-20,146
F,2025-11-23,370
B,2024-08-13,408
F,2025-05-04,537
D,2024-01-31,143
E,2024-07-24,442
D,2024-08-27,498
E,2025-12-04,665
E,2025-07-09,737
A,2024-01-03,201
E,2024-07-13,406
B,2025-05-20,364
G,2024-09-19,383
F,2025-06-21,593
C,2024-03-06,810
E,2024-09-13,404
A,2023-10-03,331
F,2025-02-26,595
A,2025-05-11,395
C,2024-12-06,815
C,2023-11-12,1148
A,2023-09-14,436
A,2025-06-25,464
E,2025-08-09,750
D,2024-01-02,280
F,2024-02-05,496
E,2023-07-20,100
A,2023-09-07,477
E,2025-08-08,756
C,2024-12-02,836
G,2024-04-17,280
G,2024-05-19,327
F,2024-05-08,392
B,2024-01-03,69
G,2024-10-05,294
B,2025-05-19,371
B,2024-11-07,339
B,2024-08-10,428
C,2024-03-11,885
E,2024-07-27,428
A,2023-11-13,281
E,2023-11-21,200
C,2025-05-08,995
C,2024-08-12,1006
G,2025-11-13,617
B,2025-04-18,246
G,2024-05-16,347
C,2023-12-07,1109
A,2024-04-19,167
B,2025-08-22,189
F,2024-08-20,642
G,2023-12-21,103
G,2025-07-17,359
A,2024-01-05,191
B,2024-09-04,269
C,2025-11-17,1089
E,2023-10-29,102
G,2024-09-18,391
A,2025-11-28,474
A,2025-06-18,382
B,2025-06-12,247
E,2025-10-16,526
A,2023-12-16,200
D,2024-07-28,18
G,2024-10-21,218
G,2025-10-06,494
F,2024-12-26,685
C,2025-01-04,783
A,2024-03-13,160
G,2025-07-12,391
E,2025-10-25,467
B,2023-10-29,50
D,2025-04-02,439
F,2024-06-11,579
D,2025-03-30,451
F,2025-09-21,594
A,2024-12-12,374
A,2025-06-19,380
F,2025-07-10,486
G,2024-02-13,113
B,2023-10-16,111
B,2024-03-14,70
F,2023-12-08,594
F,2024-07-02,689
A,2025-06-27,458
E,2025-01-30,444
G,2025-07-15,377
D,2025-07-06,461
B,2024-12-19,234
A,2024-08-18,352
B,2024-03-01,52
G,2024-08-21,227
E,2025-06-30,393
E,2023-11-04,175
C,2024-07-30,965
B,2025-06-17,215
A,2025-06-10,334
E,2023-09-13,34
A,2025-04-25,481
F,2024-03-21,517
G,2024-08-10,191
A,2024-04-20,166
F,2024-07-07,662
G,2024-05-21,318
A,2025-12-05,440
B,2025-01-07,236
F,2023-12-23,604
D,2025-02-09,413
D,2025-05-15,431
G,2024-04-13,314
G,2024-12-08,272
G,2025-07-31,275
F,2024-02-11,475
A,2024-02-04,49
B,2024-06-28,59
E,2024-03-23,126
D,2025-11-26,572
A,2025-01-11,529
B,2023-10-31,45
E,2023-08-17,75
B,2024-10-10,276
A,2024-10-13,459
F,2025-01-23,550
G,2025-01-27,190
F,2024-07-22,588
D,2025-02-04,444
E,2024-09-29,434
D,2023-10-08,361
E,2025-01-31,434
G,2024-05-01,305
F,2025-10-24,540
G,2025-06-06,555
C,2023-08-10,1236
D,2024-09-11,534
G,2025-04-13,159
A,2025-04-17,409
F,2024-08-21,635
E,2024-02-25,148
A,2023-10-16,270
E,2024-04-04,175
F,2024-08-17,556
D,2024-12-22,470
F,2023-11-16,597
E,2024-02-07,116
C,2024-12-30,810
F,2025-04-14,645
C,2025-01-23,775
D,2024-04-02,76
C,2025-08-02,975
E,2024-09-18,374
D,2025-05-05,478
D,2023-11-11,394
A,2024-12-21,325
C,2023-12-13,1082
G,2025-11-05,660
E,2023-10-25,19
G,2024-03-20,440
A,2024-09-02,469
D,2023-09-17,347
C,2023-08-22,1271
E,2024-02-12,90
B,2024-10-11,273
E,2025-05-19,511
D,2023-12-27,305
D,2025-08-14,502
D,2024-06-02,92
F,2024-12-11,473
D,2023-09-04,227
D,2023-10-05,272
E,2023-10-27,6
D,2025-08-30,526
D,2025-11-16,528
G,2025-03-03,274
F,2025-09-12,444
B,2024-11-20,289
G,2025-10-14,557
C,2025-10-29,1209
C,2024-01-20,941
A,2025-03-31,377
F,2025-05-22,545
C,2024-07-09,655
G,2025-01-19,236
F,2024-09-14,613
G,2024-04-10,340
E,2023-11-09,162
G,2023-08-28,306
C,2025-12-06,991
G,2023-10-23,221
D,2025-10-19,561
F,2023-08-10,876
B,2023-08-10,107
D,2024-04-21,97
A,2023-11-10,290
D,2025-09-23,398
B,2025-11-14,167
A,2024-12-04,312
E,2024-10-22,395
D,2024-10-08,388
E,2023-09-26,68
F,2023-10-08,688
B,2023-12-19,34
B,2024-12-01,218
D,2025-06-14,469
A,2025-09-04,836
F,2024-05-14,358
B,2024-08-02,380
D,2024-12-26,453
F,2024-08-10,603
C,2025-03-14,851
G,2025-01-24,213
B,2025-08-04,278
A,2025-02-20,404
D,2023-08-23,274
B,2024-04-12,145
D,2024-08-16,135
F,2025-11-20,386
G,2023-07-19,378
F,2024-09-10,544
C,2023-11-03,1198
C,2023-09-29,1381
D,2025-05-29,456
F,2025-06-30,546
C,2025-02-23,951
C,2025-06-20,879
F,2024-03-13,459
C,2025-10-17,1268
A,2024-06-06,238
G,2025-09-04,423
B,2024-09-21,292
F,2025-10-27,524
B,2025-09-05,206
E,2024-11-18,633
E,2024-03-14,167
C,2024-05-06,771
C,2024-12-03,834
A,2024-08-07,401
A,2025-07-27,401
C,2025-06-30,943
B,2024-01-13,115
F,2023-12-09,587
B,2025-12-08,37
G,2024-06-15,381
A,2025-05-19,361
E,2024-09-30,426
E,2024-09-17,382
A,2025-08-23,786
G,2024-03-31,402
B,2024-12-06,282
C,2023-08-20,1281
A,2025-03-27,394
A,2023-10-11,297
E,2025-08-12,740
C,2025-09-22,1304
A,2025-04-08,441
F,2023-12-25,595
D,2023-09-06,311
G,2024-08-28,192
G,2024-05-30,264
G,2025-06-27,459
F,2024-06-14,669
A,2024-01-30,74
F,2025-03-12,637
D,2023-11-06,418
B,2025-09-16,348
A,2024-07-26,455
E,2024-01-01,188
A,2024-06-09,222
A,2025-03-03,436
G,2025-05-17,663
E,2025-11-22,627
G,2024-03-19,443
D,2025-05-27,460
E,2025-04-07,422
B,2025-03-13,232
G,2024-11-05,260
E,2025-03-08,448
E,2025-08-17,709
C,2023-12-14,1075
F,2024-04-28,424
A,2025-07-03,428
A,2025-05-16,384
D,2024-07-01,66
F,2025-06-22,583
G,2025-05-05,636
E,2025-02-10,388
C,2024-09-17,811
E,2024-06-30,394
B,2025-05-16,388
C,2025-11-18,1084
D,2025-05-11,444
C,2025-10-30,1204
C,2025-09-25,1289
E,2024-04-18,202
G,2025-05-28,601
C,2025-08-31,929
E,2024-12-15,476
A,2025-11-16,447
E,2024-07-22,459
C,2023-12-30,988
B,2025-10-10,343
E,2024-10-01,419
G,2023-12-23,89
C,2024-10-01,929
A,2023-10-20,252
C,2025-02-25,944
F,2024-06-02,339
A,2023-08-20,472
B,2025-03-04,272
A,2025-11-21,514
F,2024-03-23,505
D,2025-03-31,443
G,2023-07-29,332
F,2023-11-03,653
G,2023-08-23,317
A,2025-07-16,361
E,2024-10-17,317
F,2023-08-05,908
F,2024-09-05,564
G,2023-09-04,269
C,2025-07-23,1018
B,2023-12-07,70
C,2025-04-16,897
G,2023-08-17,232
E,2023-10-17,69
G,2025-12-10,476
B,2025-01-27,448
B,2025-04-12,267
G,2024-04-27,220
G,2025-09-10,500
D,2025-10-12,391
